base_name,epoch,train_id,segment,speaker_id,sample_rate,target_length,processed_length,snr_db,si_sdr_db,pesq,stoi,noisy_snr_db,snr_improvement_db,sdr,sir,sar
epoch040_train_04_ha_seg125,40,4,125,1,16000,33728,33728,-0.8211449865713658,-22.531437915218866,1.1598074436187744,1e-05,-19.31021487183372,18.489069885262353,,,
epoch040_train_04_ha_seg125,40,4,125,2,16000,33728,33728,-0.03104099080928053,-33.317162605784155,1.035177230834961,0.26829706953879545,-7.651947168734608,7.6209061779253275,,,
epoch024_train_09_ha_seg226,24,9,226,0,16000,34752,34752,-9.891034518177666,-10.798094563418054,1.1353914737701416,0.5312783600700274,-7.945682782662478,-1.945351735515188,,,
epoch024_train_09_ha_seg226,24,9,226,1,16000,34752,34752,-0.011059492725904589,-38.12698967004307,1.4015028476715088,0.47258150824720846,-1.5555512419834967,1.544491749257592,,,
epoch024_train_09_ha_seg226,24,9,226,2,16000,34752,34752,-0.037271564934082874,-30.062193059377066,1.807220220565796,0.36773245405601523,-7.004695739122116,6.967424174188033,,,
epoch000_train_09_ha_seg025,0,9,25,0,16000,33728,33728,-7.373286220453554,-15.232269811934628,1.0273205041885376,0.5865198899971158,-8.328722254310371,0.9554360338568166,,,
epoch000_train_09_ha_seg025,0,9,25,1,16000,33728,33728,-15.17560430853414,-31.94062758833315,1.1208008527755737,1e-05,-19.439842936613392,4.2642386280792515,,,
epoch000_train_09_ha_seg025,0,9,25,2,16000,33728,33728,-6.734571344306646,-52.863120227993264,1.0566449165344238,0.36969907253613704,-10.035024402684336,3.3004530583776894,,,
epoch036_train_18_ha_seg064,36,18,64,0,16000,9664,9664,-11.952394076183015,-11.424482984285307,1.1621726751327515,0.6048621426138171,-16.078028247809215,4.125634171626199,,,
epoch036_train_18_ha_seg064,36,18,64,1,16000,9664,9664,-0.05810270810947489,-27.44845516311523,1.025310754776001,0.2760795548536984,-3.7161837687640817,3.658081060654607,,,
epoch036_train_18_ha_seg064,36,18,64,2,16000,9664,9664,-4.461275956173417,-21.055204406131022,1.0236576795578003,0.13442462896687685,-26.013636638759476,21.55236068258606,,,
epoch042_train_27_ha_seg089,42,27,89,0,16000,20928,20928,-2.9556162511085073,-30.674769551809487,1.136461853981018,0.5318143672678247,-5.291110595606698,2.3354943444981906,,,
epoch042_train_27_ha_seg089,42,27,89,1,16000,20928,20928,-0.020485360979297998,-40.016173087113884,1.023238182067871,0.3835568731202294,-7.670842181145609,7.650356820166311,,,
epoch042_train_27_ha_seg089,42,27,89,2,16000,20928,20928,-0.024614427082569685,-31.488611610761765,1.3217262029647827,0.49293950651854374,-8.926104404794646,8.901489977712076,,,
epoch034_train_09_ha_seg238,34,9,238,0,16000,43456,43456,-10.109788683343355,-26.73925070045975,1.097288966178894,0.4979494347743448,-13.047657433503627,2.9378687501602716,,,
epoch034_train_09_ha_seg238,34,9,238,1,16000,43456,43456,-0.14863967974315195,-34.290707232768426,1.132167100906372,0.3577654693584638,-14.656639472320137,14.507999792576985,,,
epoch034_train_09_ha_seg238,34,9,238,2,16000,43456,43456,-0.12135106900462095,-35.97430345710238,1.0583871603012085,0.4050081006278374,-12.240514553072426,12.119163484067805,,,
epoch044_train_02_ha_seg076,44,2,76,0,16000,64000,64000,-7.592891810765819,-10.769332941359714,1.2027149200439453,0.5270951427041392,-17.983034477954362,10.390142667188544,,,
epoch044_train_02_ha_seg076,44,2,76,1,16000,64000,64000,-0.22218957393652095,-29.999647887529356,1.1319000720977783,0.2727500440384406,-26.630171669351192,26.40798209541467,,,
epoch044_train_02_ha_seg076,44,2,76,2,16000,64000,64000,-35.064692220505,-49.17256348461635,,1e-05,-75.69207430142706,40.627382080922054,,,
epoch038_train_11_ha_seg110,38,11,110,0,16000,41408,41408,-11.935645710656145,-6.290692228130027,1.1905686855316162,0.5333167119568913,-8.818536345098725,-3.11710936555742,,,
epoch038_train_11_ha_seg110,38,11,110,1,16000,41408,41408,-0.36408583819366036,-31.29003361384324,1.5276062488555908,0.33739636101866505,-19.46619568704706,19.1021098488534,,,
epoch038_train_11_ha_seg110,38,11,110,2,16000,41408,41408,-0.23343679535740433,-43.48333975776177,1.046910047531128,0.2598083040156904,-16.01873323901163,15.785296443654227,,,
epoch014_train_25_ha_seg058,14,25,58,0,16000,64000,64000,-8.318153461240543,-7.049679121535113,1.219822883605957,0.5238313197033369,-11.164347849455464,2.8461943882149203,,,
epoch014_train_25_ha_seg058,14,25,58,1,16000,64000,64000,-0.1577323979140755,-36.55115163807483,1.1993839740753174,1e-05,-11.006003741194617,10.84827134328054,,,
epoch014_train_25_ha_seg058,14,25,58,2,16000,64000,64000,-0.08309407394910069,-47.787435938749965,1.4125348329544067,0.33182763226679063,-8.267394942017,8.1843008680679,,,
epoch016_train_16_ha_seg045,16,16,45,0,16000,64000,64000,-14.284024896594314,-14.718019833276358,1.0878965854644775,0.6554258198125037,-4.710937875050916,-9.573087021543397,,,
epoch016_train_16_ha_seg045,16,16,45,1,16000,64000,64000,-0.0209686868909333,-35.52795186864295,1.1183266639709473,0.31433596137472575,-3.421677605165201,3.4007089182742676,,,
epoch016_train_16_ha_seg045,16,16,45,2,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch050_train_15_ha_seg186,50,15,186,0,16000,64000,64000,-7.8041811637006635,-7.4976894403789345,1.2074317932128906,0.6606351987048831,-10.787258815025464,2.9830776513248,,,
epoch050_train_15_ha_seg186,50,15,186,1,16000,64000,64000,-0.48601606569109806,-38.478877966971005,1.1029528379440308,0.3636888930324075,-19.199684500542144,18.713668434851048,,,
epoch050_train_15_ha_seg186,50,15,186,2,16000,64000,64000,-1.7938353005137264,-31.46266463120782,1.194599986076355,1e-05,-26.75154305108094,24.957707750567213,,,
epoch012_train_28_ha_seg073,12,28,73,0,16000,55744,55744,-11.996492302765116,-23.4794453502923,1.0756089687347412,0.5708131521892355,-6.0688728359819955,-5.927619466783121,,,
epoch012_train_28_ha_seg073,12,28,73,1,16000,55744,55744,-0.045082074003595804,-62.751194891620074,1.028813123703003,0.25368836163581593,-3.824632633059006,3.77955055905541,,,
epoch012_train_28_ha_seg073,12,28,73,2,16000,55744,55744,-0.07771754636718632,-49.30526252773242,1.0273686647415161,0.39186556962535735,-4.739828782822139,4.662111236454953,,,
epoch014_train_15_ha_seg043,14,15,43,0,16000,64000,64000,-6.266768001484664,-15.547007771715185,1.092036247253418,0.5255647167934956,-12.986823799131496,6.7200557976468325,,,
epoch014_train_15_ha_seg043,14,15,43,1,16000,64000,64000,-0.20151594076884588,-49.988868111080535,1.0380257368087769,0.37325847057384004,-18.49449229645961,18.292976355690765,,,
epoch014_train_15_ha_seg043,14,15,43,2,16000,64000,64000,-0.11402413955124649,-40.02628512273425,1.0339707136154175,0.2640040064575322,-16.993724938728995,16.879700799177748,,,
epoch044_train_01_ha_seg050,44,1,50,0,16000,64000,64000,-1.8075954361597204,-10.604303125978827,1.105760097503662,0.4899398018970391,-26.983469443904223,25.175874007744504,,,
epoch044_train_01_ha_seg050,44,1,50,1,16000,64000,64000,-0.07329075426500026,-42.589424588655824,1.0822875499725342,0.3778784045377869,-34.396719331905935,34.32342857764093,,,
epoch044_train_01_ha_seg050,44,1,50,2,16000,64000,64000,-0.00923811799792341,-69.32417427141796,2.8669426441192627,0.3731646120310389,-25.05428251249284,25.045044394494916,,,
epoch050_train_15_ha_seg213,50,15,213,0,16000,64000,64000,-7.817448977367225,-31.60573826380734,1.1565378904342651,0.5625004498511013,-10.499977976490754,2.6825289991235293,,,
epoch050_train_15_ha_seg213,50,15,213,1,16000,64000,64000,-0.2529326629372166,-48.44608222857367,1.373723030090332,0.35389324908308556,-13.002328914746588,12.749396251809372,,,
epoch050_train_15_ha_seg213,50,15,213,2,16000,64000,64000,-0.12295837105835622,-63.22524757981667,1.0927927494049072,0.4292763394177019,-11.921868733085448,11.798910362027092,,,
epoch016_train_09_ha_seg088,16,9,88,0,16000,64000,64000,-6.454991797828407,-20.04247802293979,1.1111607551574707,0.6190743474834127,-7.9221682084735425,1.467176410645136,,,
epoch016_train_09_ha_seg088,16,9,88,1,16000,64000,64000,-0.09218102820753568,-26.283474617498776,1.0273661613464355,0.3340637172281324,-9.532484453815371,9.440303425607835,,,
epoch016_train_09_ha_seg088,16,9,88,2,16000,64000,64000,-0.0298713186447612,-38.52746751460455,1.1185595989227295,0.3606447717906963,-6.134052972651513,6.1041816540067515,,,
epoch006_train_10_ha_seg068,6,10,68,0,16000,13760,13760,-22.342510989814993,-22.245884977478404,1.1005007028579712,0.4965269063110122,-13.233274195314957,-9.109236794500037,,,
epoch006_train_10_ha_seg068,6,10,68,1,16000,13760,13760,-0.5058038976146646,-55.9298674848895,1.0293854475021362,0.07952166518951632,-8.482254859325364,7.976450961710699,,,
epoch006_train_10_ha_seg068,6,10,68,2,16000,13760,13760,-0.2502122371764931,-32.45909131536082,1.021114468574524,0.28078164382029214,-4.010069311627784,3.7598570744512907,,,
epoch000_train_03_ha_seg060,0,3,60,0,16000,64000,64000,-7.380958310653812,-24.96424496758869,1.0386977195739746,0.60311931515581,-18.67578625399569,11.294827943341877,,,
epoch000_train_03_ha_seg060,0,3,60,1,16000,64000,64000,-31.462607085434833,-50.12525386466307,,1e-05,-46.474129509101346,15.011522423666513,,,
epoch000_train_03_ha_seg060,0,3,60,2,16000,64000,64000,-3.3551675299002803,-46.93934098663508,1.0414515733718872,0.2549624699510314,-19.69532172337932,16.340154193479037,,,
epoch024_train_09_ha_seg070,24,9,70,0,16000,27072,27072,-4.9808064895695745,-18.00566783139727,1.1277129650115967,0.5196194941565154,-14.95696377855584,9.976157288986265,,,
epoch024_train_09_ha_seg070,24,9,70,1,16000,27072,27072,-0.013714813184367153,-28.183258761040904,1.0705301761627197,0.3286744323511152,-12.446391272447254,12.432676459262888,,,
epoch024_train_09_ha_seg070,24,9,70,2,16000,27072,27072,-0.03311657104794688,-38.99546496428618,1.0477772951126099,0.3103041754898465,-11.446694049689308,11.413577478641361,,,
epoch014_train_18_ha_seg071,14,18,71,0,16000,48576,48576,-9.792303643195373,-7.823794425997135,1.1109000444412231,0.6808833626007261,-15.949657358519811,6.157353715324438,,,
epoch014_train_18_ha_seg071,14,18,71,1,16000,48576,48576,-0.023173947545690656,-36.90024464047569,1.487168788909912,0.18990149121507666,-5.759961282720206,5.736787335174515,,,
